"Peak
Retention
Time",RRT (ISTD),"Peak Area
Percent",Area,Height,Compound,Compound Amount,Units,id,excel sheet,page number
8.076,0.302,18.46,92.063,15.01,CIPRO,0.004143,mg/mL,EC-21-014-DOE9-R5-T6,EC-21-014-DoE91011.xlsx,16
8.622,0.322,0.28,1.3792,0.2178,,0,mg/mL,EC-21-014-DOE9-R5-T6,EC-21-014-DoE91011.xlsx,16
10.204,0.381,0.17,0.82968,0.08592,,0,mg/mL,EC-21-014-DOE9-R5-T6,EC-21-014-DoE91011.xlsx,16
12.731,0.476,0.32,1.5763,0.1704,,0,mg/mL,EC-21-014-DOE9-R5-T6,EC-21-014-DoE91011.xlsx,16
14.355,0.537,0.95,4.7636,0.5671,,0,mg/mL,EC-21-014-DOE9-R5-T6,EC-21-014-DoE91011.xlsx,16
15.401,0.576,35.38,176.50,22.01,,0,mg/mL,EC-21-014-DOE9-R5-T6,EC-21-014-DoE91011.xlsx,16
15.783,0.590,0.34,1.7077,0.2192,,0,mg/mL,EC-21-014-DOE9-R5-T6,EC-21-014-DoE91011.xlsx,16
16.906,0.632,0.47,2.3386,0.2352,,0,mg/mL,EC-21-014-DOE9-R5-T6,EC-21-014-DoE91011.xlsx,16
18.264,0.683,0.09,0.44200,0.06515,,0,mg/mL,EC-21-014-DOE9-R5-T6,EC-21-014-DoE91011.xlsx,16
18.724,0.700,0.11,0.52577,0.06925,,0,mg/mL,EC-21-014-DOE9-R5-T6,EC-21-014-DoE91011.xlsx,16
19.065,0.713,16.31,81.345,9.802,,0,mg/mL,EC-21-014-DOE9-R5-T6,EC-21-014-DoE91011.xlsx,16
20.359,0.761,0.21,1.0332,0.1378,,0,mg/mL,EC-21-014-DOE9-R5-T6,EC-21-014-DoE91011.xlsx,16
20.52,0.767,0.21,1.0476,0.1294,,0,mg/mL,EC-21-014-DOE9-R5-T6,EC-21-014-DoE91011.xlsx,16
21.257,0.795,0.16,0.77634,0.09145,,0,mg/mL,EC-21-014-DOE9-R5-T6,EC-21-014-DoE91011.xlsx,16
22.147,0.828,0.21,1.0343,0.1397,,0,mg/mL,EC-21-014-DOE9-R5-T6,EC-21-014-DoE91011.xlsx,16
22.53,0.842,24.58,122.61,15.70,,0,mg/mL,EC-21-014-DOE9-R5-T6,EC-21-014-DoE91011.xlsx,16
23.369,0.874,0.13,0.65790,0.08472,,0,mg/mL,EC-21-014-DOE9-R5-T6,EC-21-014-DoE91011.xlsx,16
26.752,1.00,0.2,0.97467,0.1053,R2/R3,0.0002760,mg/mL,EC-21-014-DOE9-R5-T6,EC-21-014-DoE91011.xlsx,16
28.765,1.08,0.13,0.64875,0.07159,,0,mg/mL,EC-21-014-DOE9-R5-T6,EC-21-014-DoE91011.xlsx,16
29.119,1.09,0.18,0.89100,0.1215,,0,mg/mL,EC-21-014-DOE9-R5-T6,EC-21-014-DoE91011.xlsx,16
29.936,1.12,0.55,2.7294,0.2702,,0,mg/mL,EC-21-014-DOE9-R5-T6,EC-21-014-DoE91011.xlsx,16
2.386,0.0887,0.19,1.3670,0.4493,,0,mg/mL,EC-21-014-DOE10-R4-T5,EC-21-014-DoE91011.xlsx,18
5.821,0.216,0.13,0.93413,0.1822,,0,mg/mL,EC-21-014-DOE10-R4-T5,EC-21-014-DoE91011.xlsx,18
6.157,0.229,0.13,0.90716,0.1665,,0,mg/mL,EC-21-014-DOE10-R4-T5,EC-21-014-DoE91011.xlsx,18
8.085,0.300,0.59,4.1963,0.6771,CIPRO,0.0001888,mg/mL,EC-21-014-DOE10-R4-T5,EC-21-014-DoE91011.xlsx,18
9.772,0.363,18.64,131.97,21.09,,0,mg/mL,EC-21-014-DOE10-R4-T5,EC-21-014-DoE91011.xlsx,18
12.367,0.460,0.07,0.52810,0.08654,,0,mg/mL,EC-21-014-DOE10-R4-T5,EC-21-014-DoE91011.xlsx,18
14.353,0.533,1.24,8.7812,1.096,,0,mg/mL,EC-21-014-DOE10-R4-T5,EC-21-014-DoE91011.xlsx,18
14.812,0.550,0.13,0.94514,0.1335,,0,mg/mL,EC-21-014-DOE10-R4-T5,EC-21-014-DoE91011.xlsx,18
15.446,0.574,1.76,12.462,1.530,,0,mg/mL,EC-21-014-DOE10-R4-T5,EC-21-014-DoE91011.xlsx,18
16.904,0.628,0.8,5.6342,0.6774,,0,mg/mL,EC-21-014-DOE10-R4-T5,EC-21-014-DoE91011.xlsx,18
18.207,0.677,0.07,0.52741,0.06803,,0,mg/mL,EC-21-014-DOE10-R4-T5,EC-21-014-DoE91011.xlsx,18
19.064,0.708,0.13,0.91189,0.1161,,0,mg/mL,EC-21-014-DOE10-R4-T5,EC-21-014-DoE91011.xlsx,18
20.523,0.763,1.94,13.707,1.932,,0,mg/mL,EC-21-014-DOE10-R4-T5,EC-21-014-DoE91011.xlsx,18
20.743,0.771,39.95,282.80,36.14,,0,mg/mL,EC-21-014-DOE10-R4-T5,EC-21-014-DoE91011.xlsx,18
22.052,0.819,0.08,0.55022,0.07724,,0,mg/mL,EC-21-014-DOE10-R4-T5,EC-21-014-DoE91011.xlsx,18
22.591,0.839,0.13,0.89044,0.1294,,0,mg/mL,EC-21-014-DOE10-R4-T5,EC-21-014-DoE91011.xlsx,18
22.834,0.848,0.18,1.2915,0.1715,,0,mg/mL,EC-21-014-DOE10-R4-T5,EC-21-014-DoE91011.xlsx,18
23.169,0.861,0.09,0.67111,0.1049,,0,mg/mL,EC-21-014-DOE10-R4-T5,EC-21-014-DoE91011.xlsx,18
26.913,1.00,33.14,234.61,30.89,R2/R3,0.06644,mg/mL,EC-21-014-DOE10-R4-T5,EC-21-014-DoE91011.xlsx,18
28.488,1.06,0.2,1.4149,0.1610,,0,mg/mL,EC-21-014-DOE10-R4-T5,EC-21-014-DoE91011.xlsx,18
29.932,1.11,0.4,2.8611,0.2682,,0,mg/mL,EC-21-014-DOE10-R4-T5,EC-21-014-DoE91011.xlsx,18
2.385,0.0886,0.16,1.3763,0.4540,,0,mg/mL,EC-21-014-DOE10-R4-T15,EC-21-014-DoE91011.xlsx,20
5.824,0.216,0.28,2.4037,0.4560,,0,mg/mL,EC-21-014-DOE10-R4-T15,EC-21-014-DoE91011.xlsx,20
6.155,0.229,0.1,0.87740,0.1536,,0,mg/mL,EC-21-014-DOE10-R4-T15,EC-21-014-DoE91011.xlsx,20
7.033,0.261,0.04,0.35363,0.05561,,0,mg/mL,EC-21-014-DOE10-R4-T15,EC-21-014-DoE91011.xlsx,20
8.084,0.300,0.92,8.0001,1.273,CIPRO,0.0003600,mg/mL,EC-21-014-DOE10-R4-T15,EC-21-014-DoE91011.xlsx,20
9.771,0.363,39.27,342.95,54.59,,0,mg/mL,EC-21-014-DOE10-R4-T15,EC-21-014-DoE91011.xlsx,20
11.258,0.418,0.83,7.2752,0.2162,,0,mg/mL,EC-21-014-DOE10-R4-T15,EC-21-014-DoE91011.xlsx,20
12.365,0.459,0.09,0.81140,0.1388,,0,mg/mL,EC-21-014-DOE10-R4-T15,EC-21-014-DoE91011.xlsx,20
14.352,0.533,0.95,8.2683,1.009,,0,mg/mL,EC-21-014-DOE10-R4-T15,EC-21-014-DoE91011.xlsx,20
14.812,0.550,0.1,0.86381,0.1197,,0,mg/mL,EC-21-014-DOE10-R4-T15,EC-21-014-DoE91011.xlsx,20
15.443,0.574,3.15,27.479,3.376,,0,mg/mL,EC-21-014-DOE10-R4-T15,EC-21-014-DoE91011.xlsx,20
16.905,0.628,0.56,4.9145,0.5935,,0,mg/mL,EC-21-014-DOE10-R4-T15,EC-21-014-DoE91011.xlsx,20
19.063,0.708,0.39,3.3637,0.4228,,0,mg/mL,EC-21-014-DOE10-R4-T15,EC-21-014-DoE91011.xlsx,20
20.523,0.763,1.17,10.247,1.452,,0,mg/mL,EC-21-014-DOE10-R4-T15,EC-21-014-DoE91011.xlsx,20
20.743,0.771,32.09,280.29,36.00,,0,mg/mL,EC-21-014-DOE10-R4-T15,EC-21-014-DoE91011.xlsx,20
22.566,0.838,0.14,1.2592,0.1478,,0,mg/mL,EC-21-014-DOE10-R4-T15,EC-21-014-DoE91011.xlsx,20
22.831,0.848,0.38,3.3062,0.4343,,0,mg/mL,EC-21-014-DOE10-R4-T15,EC-21-014-DoE91011.xlsx,20
23.187,0.862,0.11,0.98081,0.1219,,0,mg/mL,EC-21-014-DOE10-R4-T15,EC-21-014-DoE91011.xlsx,20
23.394,0.869,0.11,0.98736,0.1203,,0,mg/mL,EC-21-014-DOE10-R4-T15,EC-21-014-DoE91011.xlsx,20
26.915,1.00,18.62,162.60,21.33,R2/R3,0.04604,mg/mL,EC-21-014-DOE10-R4-T15,EC-21-014-DoE91011.xlsx,20
27.595,1.03,0.04,0.31958,0.05334,,0,mg/mL,EC-21-014-DOE10-R4-T15,EC-21-014-DoE91011.xlsx,20
28.491,1.06,0.12,1.0640,0.1399,,0,mg/mL,EC-21-014-DOE10-R4-T15,EC-21-014-DoE91011.xlsx,20
29.065,1.08,0.07,0.58821,0.06983,,0,mg/mL,EC-21-014-DOE10-R4-T15,EC-21-014-DoE91011.xlsx,20
29.936,1.11,0.33,2.8468,0.2728,,0,mg/mL,EC-21-014-DOE10-R4-T15,EC-21-014-DoE91011.xlsx,20
5.846,0.724,0.07,3.2936,0.6039,,0,mg/mL,AVF-21-013-CIP1,EC-21-014-DoE91011.xlsx,22
7.117,0.882,0.35,16.387,1.853,,0,mg/mL,AVF-21-013-CIP1,EC-21-014-DoE91011.xlsx,22
8.071,1.00,99.49,4627.1,737.6,CIPRO,0.2080,mg/mL,AVF-21-013-CIP1,EC-21-014-DoE91011.xlsx,22
14.258,1.77,0.02,1.1136,0.1501,,0,mg/mL,AVF-21-013-CIP1,EC-21-014-DoE91011.xlsx,22
29.937,3.71,0.06,2.8072,0.2799,,0,mg/mL,AVF-21-013-CIP1,EC-21-014-DoE91011.xlsx,22
2.385,0.0886,0.11,1.4414,0.4739,,0,mg/mL,EC-21-014-DOE10-R4-T30,EC-21-014-DoE91011.xlsx,24
5.825,0.216,0.43,5.5379,0.9822,,0,mg/mL,EC-21-014-DOE10-R4-T30,EC-21-014-DoE91011.xlsx,24
6.156,0.229,0.06,0.83568,0.1594,,0,mg/mL,EC-21-014-DOE10-R4-T30,EC-21-014-DoE91011.xlsx,24
6.57,0.244,0.05,0.61587,0.09169,,0,mg/mL,EC-21-014-DOE10-R4-T30,EC-21-014-DoE91011.xlsx,24
7.036,0.261,0.03,0.38382,0.06218,,0,mg/mL,EC-21-014-DOE10-R4-T30,EC-21-014-DoE91011.xlsx,24
8.086,0.300,1.11,14.501,2.319,CIPRO,0.0006518,mg/mL,EC-21-014-DOE10-R4-T30,EC-21-014-DoE91011.xlsx,24
8.714,0.324,0.02,0.29562,0.04904,,0,mg/mL,EC-21-014-DOE10-R4-T30,EC-21-014-DoE91011.xlsx,24
9.771,0.363,55.76,726.51,115.3,,0,mg/mL,EC-21-014-DOE10-R4-T30,EC-21-014-DoE91011.xlsx,24
11.041,0.410,0.57,7.3890,0.5821,,0,mg/mL,EC-21-014-DOE10-R4-T30,EC-21-014-DoE91011.xlsx,24
11.283,0.419,1.15,14.934,0.4733,,0,mg/mL,EC-21-014-DOE10-R4-T30,EC-21-014-DoE91011.xlsx,24
12.368,0.460,0.13,1.6792,0.2008,,0,mg/mL,EC-21-014-DOE10-R4-T30,EC-21-014-DoE91011.xlsx,24
14.355,0.533,0.74,9.6541,1.169,,0,mg/mL,EC-21-014-DOE10-R4-T30,EC-21-014-DoE91011.xlsx,24
14.809,0.550,0.08,1.0391,0.1372,,0,mg/mL,EC-21-014-DOE10-R4-T30,EC-21-014-DoE91011.xlsx,24
15.444,0.574,3.68,47.925,5.949,,0,mg/mL,EC-21-014-DOE10-R4-T30,EC-21-014-DoE91011.xlsx,24
16.904,0.628,0.4,5.1940,0.6323,,0,mg/mL,EC-21-014-DOE10-R4-T30,EC-21-014-DoE91011.xlsx,24
19.065,0.708,0.08,1.0298,0.1313,,0,mg/mL,EC-21-014-DOE10-R4-T30,EC-21-014-DoE91011.xlsx,24
